"(1.2704238891601562, 23.26204490661621, 1.9977048635482788)","(1.1429446935653687, 13.800000190734863, 1.0)"
"(2.471531867980957, 23.023235321044922, 1.787617802619934)","(1.1429446935653687, 13.800000190734863, 1.0)"
"(3.681601047515869, 22.810077667236328, 1.6026971340179443)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(4.898956298828125, 22.62074851989746, 1.4411325454711914)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(6.122181415557861, 22.453468322753906, 1.301163911819458)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(7.350905895233154, 22.31026268005371, 1.1847567558288574)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(8.584609985351562, 22.19367218017578, 1.0943799018859863)","(1.1429446935653687, 13.800000190734863, 0.9977049231529236)"
"(9.822527885437012, 22.1069393157959, 1.033177137374878)","(1.6206971406936646, 13.806354522705078, 0.9977045059204102)"
"(11.063507080078125, 22.054244995117188, 1.0051995515823364)","(2.238783597946167, 13.81468677520752, 0.9977048635482788)"
"(12.305278778076172, 22.071605682373047, 1.0)","(2.852623701095581, 13.822968482971191, 0.9977049231529236)"
"(13.544452667236328, 22.16350746154785, 1.0)","(3.4622175693511963, 13.83120059967041, 0.9977049231529236)"
"(14.782864570617676, 22.265403747558594, 1.0)","(4.067564964294434, 13.839383125305176, 0.9977049231529236)"
"(16.02188491821289, 22.359243392944336, 1.0)","(4.668665885925293, 13.847515106201172, 0.9977049231529236)"
"(17.262126922607422, 22.43506622314453, 1.0)","(5.2655205726623535, 13.855597496032715, 0.9977049231529236)"
"(18.50389862060547, 22.480344772338867, 1.0)","(5.858129024505615, 13.863629341125488, 0.9977049231529236)"
"(19.74640655517578, 22.481428146362305, 1.0)","(6.446585655212402, 13.87160587310791, 0.9974584579467773)"
"(20.987533569335938, 22.42997932434082, 1.0)","(7.030615329742432, 13.879536628723145, 0.9976784586906433)"
"(22.223318099975586, 22.30904197692871, 1.0)","(7.610475063323975, 13.887418746948242, 0.9977020621299744)"
"(23.445043563842773, 22.09170150756836, 1.0)","(8.186097145080566, 13.895251274108887, 0.9977046251296997)"
"(24.631732940673828, 21.734086990356445, 1.0)","(8.75747299194336, 13.903033256530762, 0.9977048635482788)"
"(25.73114013671875, 21.169660568237305, 1.0)","(9.324603080749512, 13.910765647888184, 0.9977049231529236)"
"(26.721973419189453, 20.421171188354492, 1.0)","(9.887486457824707, 13.918447494506836, 0.9977049231529236)"
