"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 1.0)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 1.0)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(1.3515183925628662, 9.181622505187988, 0.9977049231529236)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(2.1348021030426025, 9.59084415435791, 1.0195868015289307)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(2.9177775382995605, 9.99933910369873, 1.033555507659912)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(3.7007529735565186, 10.40783405303955, 1.036635398864746)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(4.483728408813477, 10.816329002380371, 1.028826355934143)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(5.2667036056518555, 11.224822998046875, 1.0101284980773926)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(6.043975830078125, 11.630352020263672, 0.9985234141349792)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(6.8114471435546875, 12.029451370239258, 1.0056430101394653)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(7.573294162750244, 12.423747062683105, 1.0177580118179321)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(8.3351411819458, 12.818042755126953, 1.018984079360962)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(9.0969877243042, 13.2123384475708, 1.0093212127685547)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(9.855779647827148, 13.605059623718262, 0.9983841180801392)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(10.605523109436035, 13.991610527038574, 1.0049234628677368)"
"(1.270423412322998, 20.87874412536621, 0.9977049231529236)","(11.354336738586426, 14.377386093139648, 1.0034815073013306)"
"(2.193371534347534, 20.76752471923828, 0.9977049231529236)","(12.100397109985352, 14.760737419128418, 0.9995561242103577)"
