trial_num,jspsychID,stimulus,agent,time_elapse,causal_rating,counterfactual_rating,animacy_rating,rt_1,rt_2,rt_3,trial_rt,subject_id,outcome,cf,outcome_CF_match,vid_num
6,77x65fvh0v8fr82,10p_in_in.mp4,inanimate,222254.0,83,20,76,32612.5,36948.0,61547.800000000745,68893.0,1,in,in,True,10
8,77x65fvh0v8fr82,4p_in_out_med.mp4,inanimate,280852.0,95,5,80,17771.0,22742.69999999925,56265.800000000745,57314.699999999255,1,in,out,False,4
10,77x65fvh0v8fr82,15p_out_out_med.mp4,inanimate,307855.0,7,33,73,16505.0,21546.60000000149,25206.10000000149,25973.300000000745,1,out,out,True,15
12,77x65fvh0v8fr82,22a_out_in_med.mp4,animate,350503.0,85,78,91,32438.099999997765,35385.79999999702,40583.199999999255,41617.099999997765,1,out,in,False,22
14,77x65fvh0v8fr82,14a_out_out_close.mp4,animate,369875.0,100,100,91,10730.300000000743,14075.900000002235,16818.300000000745,17594.300000000745,1,out,out,True,14
16,77x65fvh0v8fr82,24p_out_in_far.mp4,inanimate,393930.0,5,10,89,10693.5,14142.800000000743,22344.60000000149,23277.800000000745,1,out,in,False,24
18,77x65fvh0v8fr82,21p_out_in_med.mp4,inanimate,420029.0,15,16,39,17475.39999999851,22726.69999999925,24698.29999999702,25319.0,1,out,in,False,21
20,77x65fvh0v8fr82,6p_in_out_far.mp4,inanimate,438829.0,100,1,79,5957.89999999851,12962.89999999851,17123.29999999702,17772.5,1,in,out,False,6
22,77x65fvh0v8fr82,8p_in_in.mp4,inanimate,472093.0,1,3,7,10259.199999999257,28833.0,23819.5,32490.89999999851,1,in,in,True,8
24,77x65fvh0v8fr82,12p_in_in.mp4,inanimate,489136.0,1,1,8,8101.10000000149,11108.0,13881.5,15263.5,1,in,in,True,12
26,77x65fvh0v8fr82,9p_in_in.mp4,inanimate,532382.0,17,88,26,19865.69999999925,31450.300000000745,39746.099999997765,41219.39999999851,1,in,in,True,9
28,77x65fvh0v8fr82,2a_in_out_close.mp4,animate,553847.0,12,93,39,15852.0,18127.5,20637.5,21187.0,1,in,out,False,2
30,77x65fvh0v8fr82,15a_out_out_close.mp4,animate,567216.0,99,93,69,6302.400000002235,10551.5,11947.20000000298,12595.20000000298,1,out,out,True,15
32,77x65fvh0v8fr82,1p_in_out_close.mp4,inanimate,586864.0,6,94,40,10599.0,15624.300000000743,17965.5,19123.800000000745,1,in,out,False,1
34,77x65fvh0v8fr82,11a_in_in.mp4,animate,609238.0,61,33,65,11373.39999999851,15852.89999999851,19599.69999999925,20348.0,1,in,in,True,11
36,77x65fvh0v8fr82,20p_out_in_close.mp4,inanimate,629358.0,84,80,68,10837.199999999257,14043.0,17260.300000000745,19842.599999997765,1,out,in,False,20
38,77x65fvh0v8fr82,21a_out_in_med.mp4,animate,649841.0,24,26,70,13885.10000000149,16762.199999999255,18130.300000000745,19462.39999999851,1,out,in,False,21
40,77x65fvh0v8fr82,3p_in_out_med.mp4,inanimate,667249.0,84,22,67,11376.10000000149,14662.5,16064.5,16884.0,1,in,out,False,3
42,77x65fvh0v8fr82,5p_in_out_far.mp4,inanimate,683342.0,100,1,71,5331.5,10582.800000000743,12441.900000002235,14819.0,1,in,out,False,5
44,77x65fvh0v8fr82,7a_in_in.mp4,animate,704106.0,2,100,17,9979.5,13887.0,15676.60000000149,19490.60000000149,1,in,in,True,7
46,77x65fvh0v8fr82,6a_in_out_far.mp4,animate,732380.0,99,3,99,22869.89999999851,24042.5,26480.0,27749.89999999851,1,in,out,False,6
48,77x65fvh0v8fr82,13a_out_out_close.mp4,animate,752774.0,100,100,100,10644.39999999851,15223.199999999257,18006.0,19120.300000000745,1,out,out,True,13
50,77x65fvh0v8fr82,5a_in_out_far.mp4,animate,770824.0,91,11,94,10463.400000002235,14381.400000002235,16158.300000000743,17023.5,1,in,out,False,5
52,77x65fvh0v8fr82,9a_in_in.mp4,animate,790851.0,89,30,91,12156.5,15808.800000000743,16866.39999999851,18503.19999999925,1,in,in,True,9
54,77x65fvh0v8fr82,22p_out_in_med.mp4,inanimate,814357.0,90,81,30,17104.300000000745,19670.800000000745,21911.19999999925,22484.10000000149,1,out,in,False,22
56,77x65fvh0v8fr82,16a_out_out_med.mp4,animate,834747.0,83,73,74,11024.099999997765,14767.099999997765,17401.5,19115.800000000745,1,out,out,True,16
58,77x65fvh0v8fr82,13p_out_out_close_.mp4,inanimate,854061.0,84,85,30,11333.199999999257,16486.199999999255,18133.60000000149,18793.39999999851,1,out,out,True,13
60,77x65fvh0v8fr82,1a_in_out_close.mp4,animate,872663.0,32,87,36,10898.60000000149,13996.20000000298,15628.20000000298,16827.400000002235,1,in,out,False,1
62,77x65fvh0v8fr82,10 a_in_in.mp4,animate,904665.0,75,89,90,28017.19999999925,22675.300000000745,18836.5,30472.89999999851,1,in,in,True,10
64,77x65fvh0v8fr82,7p_in_in.mp4,inanimate,922218.0,9,99,39,6595.800000000745,11649.10000000149,15378.10000000149,16027.800000000743,1,in,in,True,7
66,77x65fvh0v8fr82,19p_out_in_close.mp4,inanimate,944798.0,100,97,80,7113.10000000149,11602.900000002235,15593.900000002235,20805.0,1,out,in,False,19
68,77x65fvh0v8fr82,19a_out_in_close.mp4,animate,972342.0,61,61,82,17441.5,20855.0,22946.69999999925,25767.79999999702,1,out,in,False,19
70,77x65fvh0v8fr82,14p_out_out_close_.mp4,inanimate,997874.0,77,66,27,11670.60000000149,14948.10000000149,22506.19999999925,23506.60000000149,1,out,out,True,14
72,77x65fvh0v8fr82,17p_out_out_far.mp4,inanimate,1018526.0,35,8,31,12242.0,16472.199999999255,19701.79999999702,20378.39999999851,1,out,out,True,17
74,77x65fvh0v8fr82,20a_out_in_close.mp4,animate,1033208.0,88,80,91,11017.5,12404.800000000743,13182.300000000743,14158.89999999851,1,out,in,False,20
76,77x65fvh0v8fr82,2p_in_out_close.mp4,inanimate,1046797.0,25,94,25,9208.300000000743,10870.89999999851,12407.0,13066.0,1,in,out,False,2
78,77x65fvh0v8fr82,12a_in_in.mp4,animate,1081384.0,25,95,28,27617.70000000298,30004.0,32740.5,33813.70000000298,1,in,in,True,12
80,77x65fvh0v8fr82,18p_out_out_far.mp4,inanimate,1255866.0,15,13,24,163667.0,165089.69999999923,172333.5,172953.6000000015,1,out,out,True,18
82,77x65fvh0v8fr82,24a_out_in_far.mp4,animate,1275466.0,20,21,92,10576.39999999851,12841.10000000149,17020.800000000745,17825.5,1,out,in,False,24
84,77x65fvh0v8fr82,23a_out_in_far.mp4,animate,1312079.0,89,85,91,28407.0,32306.29999999702,33253.099999997765,36334.599999997765,1,out,in,False,23
86,77x65fvh0v8fr82,17a_out_out_far.mp4,animate,1328383.0,13,13,91,10587.89999999851,13006.599999997765,14554.800000000743,15277.599999997765,1,out,out,True,17
88,77x65fvh0v8fr82,8a_in_in.mp4,animate,1342168.0,16,96,11,6942.599999997765,10327.0,12094.199999999257,13011.29999999702,1,in,in,True,8
90,77x65fvh0v8fr82,16p_out_out_med.mp4,inanimate,1359651.0,77,78,34,11937.699999999257,13546.0,15558.0,16703.400000002235,1,out,out,True,16
92,77x65fvh0v8fr82,11p_in_in.mp4,inanimate,1378053.0,36,84,32,10515.89999999851,12687.79999999702,14917.0,17623.199999999255,1,in,in,True,11
94,77x65fvh0v8fr82,3a_in_out_med.mp4,animate,1402477.0,39,60,82,10926.5,13701.800000000743,21498.900000002235,22644.5,1,in,out,False,3
96,77x65fvh0v8fr82,23p_out_in_far.mp4,inanimate,1430858.0,60,39,24,20580.60000000149,21448.60000000149,26273.400000002235,27103.900000002235,1,out,in,False,23
