session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
6117df6de22a150b417f8b19,6116d3e040d816a2d509a28a,APPROVED,2021-08-14 15:21:20.022000,2021-08-14 15:47:10.638000,1550.616,20,4,0,100,2021-08-16 15:47:03.221000,875B6695,Netherlands,Netherlands,Due to start a new job within the next month,Dutch,"Dutch, English",Netherlands,Female,Yes
6117df9ac6a264f90db20043,610efa6a372578fc76ffcb73,APPROVED,2021-08-14 15:28:31.449000,2021-08-14 16:28:09.758000,3578.309,45,8,1,92,2021-08-16 15:41:29.041000,875B6695,United States,United States,Full-Time,English,English,United States,Male,DATA EXPIRED
6117dfc6aad0940cdc2a6466,5ee65706ef1d523c0012736e,APPROVED,2021-08-14 15:22:47.420000,2021-08-14 15:44:15.324000,1287.904,19,54,2,98,2021-08-16 15:47:00.938000,875B6695,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
6117dfcbfa32dabb4d20401d,6115097f8c00c37da726037e,TIMED-OUT,2021-08-14 15:22:56.220000,,176963.272696,30,0,0,100,,,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
6117e029ba91f390adc2a0bf,5f6ceb5c3d36b112441fa619,APPROVED,2021-08-14 15:24:36.624000,2021-08-14 15:52:43.043000,1686.419,20,43,0,100,2021-08-16 15:47:39.597000,NOCODE,Poland,Poland,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
6117e04223af87b26c2afa05,60fd1cccfa7bda3ebb89b480,APPROVED,2021-08-14 15:24:59.691000,2021-08-14 16:01:20.017000,2180.326,23,2,0,100,2021-08-16 15:46:58.632000,875B6695,Israel,Israel,Unemployed (and job seeking),Hebrew,"Hebrew, English",Israel,Female,No
6117e054bf3d72817e1de23e,60fd5424aedf7eac4d0ab970,APPROVED,2021-08-14 15:25:14.647000,2021-08-14 16:16:05.682000,3051.035,22,4,0,100,2021-08-16 15:48:42.230000,NOCODE,Ireland,Ireland,Full-Time,English,English,Ireland,Female,No
6117e081d450ff42374b8bec,6116ba1ed4b4db883ba55582,APPROVED,2021-08-14 15:26:22.465000,2021-08-14 16:07:23.776000,2461.311,18,3,0,100,2021-08-16 15:49:52.738000,NOCODE,Chile,Chile,DATA EXPIRED,Spanish,"Spanish, English",Chile,Male,Yes
6117e093f7bc3eda94f18782,611657fc910a641e84fdac1c,RETURNED,2021-08-14 15:26:53.036000,,176726.567245,19,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6117e09777644c0f19602c20,6117b35044a16402c4ff1aa4,APPROVED,2021-08-14 15:26:21.126000,2021-08-14 16:36:12.716000,4191.59,19,1,0,100,2021-08-14 16:36:12.773000,Manual Completion,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"Portuguese, English",Portugal,Female,Yes
